name,brewery_type,address,state,phone,website_url,country,region,division,longitude,latitude
10-56 Brewing Company,micro,400 Brown Cir Knox Indiana 46534,Indiana,6308165790,Not Available,United States,Midwest,East North Central,-86.627954,41.289715
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St Bend Oregon 97701,Oregon,5415851007,Not Available,United States,West,Pacific,-121.28095359999999,44.0912109
10 Barrel Brewing Co - Boise,large,826 W Bannock St Boise Idaho 83702-5857,Idaho,2083445870,http://www.10barrel.com,United States,West,Mountain,-116.202929,43.618516
10 Barrel Brewing Co - Denver,large,2620 Walnut St Denver Colorado 80205-2231,Colorado,7205738992,Not Available,United States,West,Mountain,-104.9853655,39.7592508
10 Barrel Brewing Co,large,1411 NW Flanders St Portland Oregon 97209-2620,Oregon,5032241700,http://www.10barrel.com,United States,West,Pacific,-122.68550559999998,45.5259786
10 Barrel Brewing Co,large,1501 E St San Diego California 92101-6618,California,6195782311,http://10barrel.com,United States,West,Pacific,-117.129593,32.714813
10 Torr Distilling and Brewing,micro,490 Mill St Reno Nevada 89502,Nevada,7755307014,http://www.10torr.com,United States,West,Mountain,-119.77320149999998,39.5171702
105 West Brewing Co,micro,1043 Park St Castle Rock Colorado 80109-1585,Colorado,3033257321,http://www.105westbrewing.com,United States,West,Mountain,-104.8667206,39.38269495
10K Brewing,micro,2005 2nd Ave Anoka Minnesota 55303-2243,Minnesota,7633924753,http://10KBrew.com,United States,Midwest,West North Central,-93.38952559,45.19812039
10th District Brewing Company,micro,491 Washington St Abington Massachusetts 02351-2419,Massachusetts,7813071554,http://www.10thdistrictbrewing.com,United States,Northeast,New England,-70.94594149,42.10591754
11 Below Brewing Company,micro,6820 Bourgeois Rd Houston Texas 77066-3107,Texas,2814442337,http://www.11belowbrewing.com,United States,South,West South Central,-95.5186591,29.951546399999998
1188 Brewing Co,brewpub,141 E Main St John Day Oregon 97845-1210,Oregon,5415751188,http://www.1188brewing.com,United States,West,Pacific,-118.92187539999999,44.4146563
12 West Brewing Company - Production Facility,micro,Not Available Mesa Arizona 85207,Arizona,Not Available,Not Available,United States,West,Mountain,-111.5860662,33.436188
122 West Brewing Co,closed,2416 Meridian St Bellingham Washington 98225-2405,Washington,3603063285,https://www.122westbrew.com/,United States,West,Pacific,-122.485982,48.762170899999994
127 Brewing,micro,3090 Shirley Dr Jackson Michigan 49201-7010,Michigan,5172581346,Not Available,United States,Midwest,East North Central,-84.43116792,42.28667212
12Degree Brewing,brewpub,820 Main St Louisville Colorado 80027-1865,Colorado,3035791004,http://www.12degree.com,United States,West,Mountain,-105.13198259999999,39.9782443
13 Below Brewery,micro,7391 Forbes Rd Cincinnati Ohio 45233-1013,Ohio,5139750613,http://www.13belowbrewery.com,United States,Midwest,East North Central,-84.70634815,39.12639764
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave Portland Oregon 97202-5518,Oregon,5032393831,http://www.13virtuesbrewing.com,United States,West,Pacific,-122.6487531,45.4762536
14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907 Westlake Village California 91362-3974,California,8186996165,http://14cannons.com,United States,West,Pacific,-118.802397,34.15334
